School Name,School ID,Public flag,School Type,SAU,SAU ID,County,Location,Mailing Street,Mailing City,Mailing Zip,Phone,Grade Low,Grade High,Contact,Contact Email
Portland Arts & Technology H S,383,Public,Technology Center,Portland Public Schools,364,Cumberland,Portland,196 Allen AV,Portland,04103,(207) 874-8165,9,12,Ryan Scallon,Scallr@portlandschools.org
Portland High School,378,Public,Public,Portland Public Schools,364,Cumberland,Portland,284 Cumberland AV,Portland,04101,(207) 874-8250,9,12,SHEILA JEPSON,jepsos@portlandschools.org
Pownal Elementary School,931,Public,Public,RSU 05,1449,Cumberland,Pownal,587 Elmwood Road,Pownal,04069,(207) 688-4832,PK,5,HOLLY JOHNSON,johnsonh@rsu5.org
Prescott Memorial School,772,Public,Public,RSU 40/MSAD 40,765,Knox,Washington,100 Waldoboro Road,Washington,04574,(207) 845-2424,PK,6,Crystal Boucher,crystal_boucher@msad40.org
Presque Isle High School,557,Public,Public,RSU 79/MSAD 01,551,Aroostook,Presque Isle,16 Griffin Street,Presque Isle,04769,(207) 764-0121,9,12,DAVID BARTLETT,bartlettd@sad1.org
Presque Isle Middle School,556,Public,Public,RSU 79/MSAD 01,551,Aroostook,Presque Isle,569 Skyway Street,Presque Isle,04769,(207) 764-4474,6,8,BARBARA BARTLETT,bartlettb@sad1.org
Presque Isle Reg Career & Tech Ctr,560,Public,Technology Center,RSU 79/MSAD 01,551,Aroostook,Presque Isle,79 Blake St Ste 3,Presque Isle,04769,(207) 764-1356,9,12,BENJAMIN GREENLAW,greenlawb@sad1.org
Presumpscot School,372,Public,Public,Portland Public Schools,364,Cumberland,Portland,69 Presumpscot ST,Portland,04103,(207) 874-8220,PK,5,Angela Taylor,tayloa@portlandschools.org
Princeton Elementary School,390,Public,Public,Princeton Public Schools,389,Washington,Princeton,PO BOX 580,Princeton,04668,(207) 853-2567,PK,8,CHARITY WILLIAMS,williamsc@su107.org
Ralph M Atwood Primary School,808,Public,Public,RSU 18,1457,Kennebec,Oakland,19 Heath Street,Oakland,04963,(207) 465-3411,PK,2,Jennifer Mcgee,jmcgee@rsu18.org
Rangeley Lakes Regional School,392,Public,Public,RSU 78,1480,Franklin,Rangeley,43 Mendolia Road,Rangeley,04970,(207) 864-3311,PK,12,SETH LALIBERTE,slaliberte@rangeleyschool.org
Raymond A. Geiger Elementary School,260,Public,Public,Lewiston Public Schools,250,Androscoggin,Lewiston,601 College Street,Lewiston,04240,(207) 795-4160,PK,6,CINDY GISH,cgish@lewistonpublicschools.org
Raymond Elementary School,396,Public,Public,RSU 14,1455,Cumberland,Raymond,434 Webbs Mills Road,Raymond,04071,(207) 655-8672,PK,4,Elisabeth Peavey,bpeavey@rsu14.org
Readfield Elementary School,398,Public,Public,RSU 38,1467,Kennebec,Readfield,84 South Road,Readfield,04355,(207) 685-4406,PK,5,Jeffrey Boston,jeff_boston@maranacook.org
Reeds Brook Middle School,677,Public,Public,RSU 22,1615,Penobscot,Hampden,28A Main Road South,Hampden,04444,(207) 862-3540,6,8,Susan Thibedeau,sthibedeau@rsu22.us
Region 9 Sch of Applied Technology,1026,Public,Technology Region,Rumford-Region 9,1025,Oxford,Mexico,377 River Road,Mexico,04257,(207) 364-3764,9,12,BRENDA GAMMON,brendagammon@region9school.org
Region Two Sch of Applied Tech,1016,Public,Technology Region,Houlton-Region 2,1015,Aroostook,Houlton,PO Box 307,Houlton,04730,(207) 532-9541,9,12,Ammie London,alondon@regiontwo.org
Richmond High School,403,Public,Public,Richmond Public Schools,2195,Sagadahoc,Richmond,132 Main Street,Richmond,04357,(207) 737-4348,9,12,Karl Matulis,kmatulis@richmondpk12.org
Richmond Middle School,404,Public,Public,Richmond Public Schools,2195,Sagadahoc,Richmond,132 Main Street,Richmond,04357,(207) 737-4348,6,8,Karl Matulis,kmatulis@richmondpk12.org
Ridge View Community School,805,Public,Public,MSAD 46,798,Penobscot,Dexter,175 Fern Road,Dexter,04930,(207) 924-6000,PK,8,Jessica Dyer,jdyer@aos94.org
River View Community School,622,Public,Public,RSU 11/MSAD 11,617,Kennebec,South Gardiner,PO Box 9,South Gardiner,04359,(207) 582-3402,3,5,Victoria Duguay,vduguay@msad11.org
Robert V. Connors Elementary School,2048,Public,Public,Lewiston Public Schools,250,Androscoggin,Lewiston,400 Bartlett Street,Lewiston,04240,(207) 795-4130,PK,6,Donald Ferrara,DFERRARA@LEWISTONPUBLICSCHOOLS.ORG
Robert W Traip Academy,246,Public,Public,Kittery Public Schools,242,York,Kittery,12 Williams Avenue,Kittery,03904,(207) 439-1121,9,12,Jane Durgin,jdurgin@kitteryschools.com
Rose M Gaffney School,278,Public,Public,Machias Public Schools,277,Washington,Machias,15 Rose Gaffney Rd,Machias,04654,(207) 255-3411,PK,8,SUSAN DOW,sdow@rmges.org
Rumford Elementary,788,Public,Public,RSU 10,1450,Oxford,Rumford,121 Lincoln Avenue,Rumford,04276,(207) 364-8155,PK,4,Jodi Ellis,jellis@rsu10.org
Russell School,636,Public,Public,RSU 15/MSAD 15,635,Cumberland,Gray,8 Gray Park,Gray,04039,(207) 657-4929,KG,2,Danny Blake,dblake@sad15.org
Sabattus Primary School,2111,Public,Public,RSU 04,1446,Androscoggin,Sabattus,36 No Name Pond Road,Sabattus,04280,(207) 375-4273,1,2,MaKayla Stevens,makayla.stevens@rsu4.org
Saccarappa School,497,Public,Public,Westbrook Public Schools,495,Cumberland,Westbrook,110 Huntress Avenue,Westbrook,04092,(207) 854-0847,KG,4,Alexis Jones,jonesa@westbrookschools.org
Saco Middle School,413,Public,Public,Saco Public Schools,1662,York,Saco,40 Buxton Road,Saco,04072,(207) 282-4181,6,8,MARIE SOUCY,MSOUCY@SACOSCHOOLS.ORG
Saco Pre-K,2063,Public,Public,Saco Public Schools,1662,York,Saco,5 Willey Rd,Saco,04072,(207) 284-4505,PK,PK,Jeremy Ray,jray@sacoschools.org
Sacopee Valley Elementary School,879,Public,Public,RSU 55/MSAD 55,874,Oxford,Hiram,213 South Hiram Road,Hiram,04041,(207) 625-8117,PK,3,Christian Hughes,chughes@sad55.org
Sacopee Valley High Sch,877,Public,Public,RSU 55/MSAD 55,874,Oxford,Hiram,115 South Hiram Road,Hiram,04041,(207) 625-3208,9,12,Britton Wolfe,bwolfe@sad55.org
Sacopee Valley Middle School,881,Public,Public,RSU 55/MSAD 55,874,Oxford,Hiram,137 South Hiram Road,Hiram,04041,(207) 625-2450,4,8,Michael Lane,mlane@sad55.org
Samuel L Wagner Middle School,680,Public,Public,RSU 22,1615,Waldo,Winterport,19 Williams Way,Winterport,04496,(207) 223-4309,5,8,ANGELA PRATT,apratt@rsu22.us
Sanford High School,423,Public,Public,Sanford Public Schools,416,York,Sanford,100 Alumni Blvd,Sanford,04073,(207) 324-4050,9,12,Amanda Doyle,adoyle@sanford.org
Sanford Middle School,2050,Public,Public,Sanford Public Schools,416,York,Sanford,52 Spartan Dr,Sanford,04073,(207) 324-3114,5,8,Pamela Lydon,plydon@sanford.org
Sanford Pride Elementary School,1651,Public,Public,Sanford Public Schools,416,York,Sanford,708 Main Street,Sanford,04073,(207) 324-8454,PK,4,Susan Inman,sinman@sanford.org
Sanford Regional Technical Center,426,Public,Technology Center,Sanford Public Schools,416,York,Sanford,100 Alumni Blvd,Sanford,04073,(207) 324-2942,9,12,Matthew Nelson,mnelson@sanford.org
Scarborough High School,431,Public,Public,Scarborough Public Schools,427,Cumberland,Scarborough,11 Municipal Drive,Scarborough,04074,(207) 730-5000,9,12,Nathan Theriault,ntheriault@scarboroughschools.org
Scarborough Middle School,430,Public,Public,Scarborough Public Schools,427,Cumberland,Scarborough,21 Quentin Drive,Scarborough,04074,(207) 730-4800,6,8,KATHLEEN TIRRELL,ktirrell@scarboroughschools.org
Schenck High School,159,Public,Public,East Millinocket Public Schools,157,Penobscot,East Millinocket,45 North St Suite 1,East Millinocket,04430,(207) 746-3511,9,12,JUSTIN PAGE,jpage@emmm.org
Se Do Mo Cha Elementary School,956,Public,Public,RSU 68/MSAD 68,951,Piscataquis,Dover-Foxcroft,"63 Harrison Avenue, Suite B",Dover-Foxcroft,04426,(207) 564-6535,PK,4,ADAM GUDROE,agudroe@sedomocha.org
Se Do Mo Cha Middle School,954,Public,Public,RSU 68/MSAD 68,951,Piscataquis,Dover-Foxcroft,"63 Harrison Avenue, Suite A",Dover-Foxcroft,04426,(207) 564-6535,5,8,ADAM GUDROE,agudroe@sedomocha.org
Sea Road School,965,Public,Public,RSU 21,1460,York,Kennebunk,29 Sea Road,Kennebunk,04043,(207) 985-1105,3,5,CORY STEERE,csteere@rsu21.net
Searsport District High School,885,Public,Public,RSU 20,1459,Waldo,Searsport,24 Mortland Road,Searsport,04974,(207) 548-2313,9,12,Joshua Toothaker,jtoothaker@rsu20.org
Searsport District Middle School,884,Public,Public,RSU 20,1459,Waldo,Searsport,26 Mortland Road,Searsport,04974,(207) 548-2313,6,8,Joshua Toothaker,jtoothaker@rsu20.org
Searsport Elementary,886,Public,Public,RSU 20,1459,Waldo,Searsport,30 Mortland Road,Searsport,04974,(207) 548-2317,PK,5,Tenney Spiegel,tspiegel@rsu20.org
Sebago Elementary School,929,Public,Public,Sebago Public Schools,1996,Cumberland,Sebago,283 Sebago Road,Sebago,04029,(207) 888-9331,PK,5,John LaPerriere,jlaperriere@sebagolearners.org
Sebasticook Valley Elementary School,2045,Public,Public,RSU 19,1458,Penobscot,Newport,337 Williams Road,Newport,04953,(207) 368-4592,PK,4,Laura Donahue,ldonahue@rsu19.net
Sedgwick Elementary School,435,Public,Public,Sedgwick Public Schools,434,Hancock,Sedgwick,272 Snows Cove Road,Sedgwick,04676,(207) 359-5002,PK,8,Susan Wells,swells@sedgwickschool.org
Shapleigh Memorial School,893,Public,Public,RSU 57/MSAD 57,888,York,Shapleigh,467 Shapleigh Corner Road,Shapleigh,04076,(207) 636-1751,PK,5,MARISA PENNEY,marisapenney@rsu57.org
Shapleigh School,244,Public,Public,Kittery Public Schools,242,York,Kittery,43 Stevenson Road,Kittery,03904,(207) 439-2572,4,8,Anne Ellis,aellis@kitteryschools.com
Shead High School,165,Public,Public,Eastport Public Schools,163,Washington,Eastport,89 High Street,Eastport,04631,(207) 853-6254,9,12,Paul Theriault,ptheriault@shead.org
Sherwood Heights Elementary Sch,24,Public,Public,Auburn Public Schools,14,Androscoggin,Auburn,32 Sherwood Drive,Auburn,04210,(207) 783-8526,PK,6,MICHAEL DAVIS,mdavis@auburnschl.edu
Sipayik Elementary School,1014,Public,Indian Education,Pleasant Point,1013,Washington,Perry,22 Bayview Drive,Perry,04667,(207) 853-6085,PK,8,Daniel Morang,daniel.morang50@gmail.com
Skowhegan Area High School,867,Public,Public,RSU 54/MSAD 54,860,Somerset,Skowhegan,61 Academy Circle,Skowhegan,04976,(207) 474-5511,9,12,JASON BELLEROSE,jbellerose@msad54.org
Skowhegan Area Middle School,870,Public,Public,RSU 54/MSAD 54,860,Somerset,Skowhegan,155 Academy Circle,Skowhegan,04976,(207) 474-3339,6,8,ZACHARY LONGYEAR,zlongyear@msad54.org
So Aroostook School,1041,Public,Public,RSU 50,1500,Aroostook,Dyer Brook,922 Dyer Brook Road,Dyer Brook,04747,(207) 757-8206,PK,12,JONATHAN PORTER,jporter203@rsu50.org
Solon Elementary School,982,Public,Public,RSU 74/MSAD 74,976,Somerset,Solon,PO Box 146,Solon,04979,(207) 643-2491,PK,5,Jean Butler,jbutler@carrabec.org
Somerset Career & Technical Center,871,Public,Technology Center,RSU 54/MSAD 54,860,Somerset,Skowhegan,61 Academy Circle,Skowhegan,04976,(207) 474-2151,9,12,Jonathan Moody,jmoody@msad54.org
Somerset Elementary School,2046,Public,Public,RSU 19,1458,Somerset,Hartland,45 Blake Street,Hartland,04943,(207) 938-4770,PK,4,Ellen Surprenant,esurprenant@rsu19.net
Somerville Elementary School,439,Public,Public,RSU 12,1451,Lincoln,Somerville,665 Patricktown Rd Suite 2,Somerville,04348,(207) 549-3261,PK,PK,Howard Tuttle,htuttle@svrsu.org
Songo Locks School,927,Public,Public,RSU 61/MSAD 61,922,Cumberland,Naples,25 Songo School Road,Naples,04055,(207) 693-6828,PK,2,Bridget DelPrete,bridget.delprete@lakergionschools.org
South Bristol Elementary School,441,Public,Public,South Bristol Public Schools,440,Lincoln,South Bristol,767 Main St. Suite 2,Damariscotta,04543,(207) 644-8177,PK,8,Charles Hamm,chamm@aos93.org
South Portland High School,451,Public,Public,South Portland Public Schools,444,Cumberland,South Portland,637 Highland Avenue,South Portland,04106,(207) 767-3266,9,12,Scott Tombleson,tomblesc@spsdme.org
South Portland Middle School,2213,Public,Public,South Portland Public Schools,444,Cumberland,South Portland,120 Wescott Road,South Portland,04106,(207) 773-5629,5,8,REBECCA STERN,sternre@spsdme.org
South School,583,Public,Public,RSU 13,1452,Knox,Rockland,30 Broadway,Rockland,04841,(207) 596-2020,PK,5,HILLARY ARROYO,harroyo@rsu13.org
Southport Central School,443,Public,Public,Southport Public Schools,442,Lincoln,Southport,438 Hendricks Hill Road,Southport,04576,(207) 633-3132,KG,6,Lisa Clarke,lclarke@aos98schools.org
Spruce Mountain Elementary School,1759,Public,Public,RSU 73,1498,Franklin,Jay,12 Tiger Drive,Jay,04239,(207) 897-5719,3,5,Patrick St.Clair,pstclair@rsu73.com
Spruce Mountain High School,1652,Public,Public,RSU 73,1498,Franklin,Jay,33 Community Drive,Jay,04239,(207) 897-4336,9,12,THOMAS PLOURDE,tjplourde@rsu73.com
Spruce Mountain Middle School,1499,Public,Public,RSU 73,1498,Franklin,Jay,23 Community Drive,Jay,04239,(207) 897-4319,6,8,KRISTOFER TARGETT,ktargett@rsu73.com
Spruce Mountain Primary School,1760,Public,Public,RSU 73,1498,Androscoggin,Livermore,107 Gibbs Mill Road,Livermore,04253,(207) 897-3355,PK,2,Michael Glynn,mglynn@rsu73.com
St Croix Regional Technical Center,112,Public,Technology Center,Calais Public Schools,108,Washington,Calais,34 Blue Devil Hill Suite 1,Calais,04619,(207) 454-2581,9,12,MARY SPEARIN,mspearin@calaisschools.org
St George School,835,Public,Public,St George Public Schools,1738,Knox,Tenants Harbor,PO Box 153,Tenants Harbor,04860,(207) 372-6312,PK,8,RYAN WATTS,r.watts@stgeorgemsu.org
St John Valley Technology Center,728,Public,Technology Center,RSU 33/MSAD 33,726,Aroostook,Frenchville,PO Box 509 431 US Rte 1,Frenchville,04745,(207) 543-6606,9,12,BENJAMIN SIROIS,bsirois@vuesc.org
Stearns Jr-Sr High School,301,Public,Public,Millinocket Public Schools,298,Penobscot,Millinocket,199 State Street,Millinocket,04462,(207) 723-6430,6,12,BETH PEAVEY,bpeavey@millinocketschools.org
Steep Falls Elementary School,598,Public,Public,RSU 06/MSAD 06,587,Cumberland,Steep Falls,781 Boundary Road,Steep Falls,04085,(207) 675-3321,KG,4,CHARLOTTE REGAN,cregan@bonnyeagle.org
Stevens Brook School,923,Public,Public,RSU 61/MSAD 61,922,Cumberland,Bridgton,14 Frances Bell Lane,Bridgton,04009,(207) 647-5675,PK,5,COURTNEY SMITH,courtney.smith@lakeregionschools.org
Stratton Elementary School,899,Public,Public,Eustis Public Schools,1627,Franklin,Stratton,65 School Street,Stratton,04982,(207) 246-2283,PK,8,TABITHA EMERY,temery@strattonschool.org
Sumner Memorial High School,1035,Public,Public,RSU 24,1462,Hancock,Sullivan,2456 US Hwy 1,Sullivan,04664,(207) 422-3510,9,12,JACKSON GREEN,jgreen@rsu24.org
Sumner Middle Sch,2144,Public,Public,RSU 24,1462,Hancock,Sullivan,2456 US Hwy 1,Sullivan,04664,(207) 422-3510,6,8,JACKSON GREEN,jgreen@rsu24.org
Surry Elementary School,463,Public,Public,Surry Public Schools,462,Hancock,Surry,754 N Bend Road,Surry,04684,(207) 667-9358,PK,8,LARRY CLEMENT,lclement@surryschool.org
Suzanne M Smith Elementary School,684,Public,Public,RSU 87/MSAD 23,681,Penobscot,Levant,169 South Levant Road,Levant,04456,(207) 884-7444,PK,5,Lorri Day,lday@rsu87.org
Swans Island Elementary School,995,Public,Public,MSAD 76,994,Hancock,Swans Island,116 Rose Hill Road,Swans Island,04685,(207) 526-4300,KG,8,MIMI RAINFORD,mrainford@mdirss.org
Sylvio J Gilbert School,33,Public,Public,Augusta Public Schools,28,Kennebec,Augusta,16 Sunset Avenue,Augusta,04330,(207) 626-2491,PK,6,Christina Boursaw,CHRISTINA.BOURSAW@AUGUSTASCHOOLS.ORG
T W Kelly Dirigo Middle School,671,Public,Public,RSU 56,1826,Oxford,Dixfield,45 Middle School Drive,Dixfield,04224,(207) 562-7552,6,8,Jason Long,jlong@rsu56.org
Telstar High School,792,Public,Public,RSU 44/MSAD 44,789,Oxford,Bethel,284 Walkers Mills Road,Bethel,04217,(207) 824-2136,9,12,JOHN ELIOT,eliotj@sad44.org
Telstar Middle School,793,Public,Public,RSU 44/MSAD 44,789,Oxford,Bethel,284 Walkers Mills Road,Bethel,04217,(207) 824-2136,6,8,LINDSAY LUETJE,luetjel@sad44.org
Thomas J McMahon Elementary Sch,256,Public,Public,Lewiston Public Schools,250,Androscoggin,Lewiston,151 North Temple Street,Lewiston,04240,(207) 795-4140,PK,6,Charlotte Johnson,cnile@lewistonpublicschools.org
Thomaston Grammar School,838,Public,Public,RSU 13,1452,Knox,Thomaston,65 Watts Lane,Thomaston,04861,(207) 354-6353,KG,5,Ainslee Riley,ariley@rsu13.org
Tremont Consolidated School,467,Public,Public,Tremont Public Schools,466,Hancock,Bass Harbor,119 Tremont Road,Tremont,04653,(207) 244-7777,PK,8,Jandrea True,jandrea.true@mdirss.org
Trenton Elementary School,469,Public,Public,Trenton Public Schools,468,Hancock,Trenton,51 School Road,Trenton,04605,(207) 667-8447,PK,8,Crystal DaGraca,cdagraca@mdirss.org
Tri-County Technical Center,802,Public,Technology Center,MSAD 46,798,Penobscot,Dexter,14 Abbott Hill Road,Dexter,04930,(207) 924-7670,9,12,KEVIN JORDAN,kjordan@aos94.org
Tripp Middle School,850,Public,Public,RSU 52/MSAD 52,847,Androscoggin,Turner,65 Matthews Way,Turner,04282,(207) 225-1070,7,8,Jana MATES,jana.mates@msad52.org
Troy A Howard Middle School,736,Public,Public,RSU 71,1733,Waldo,Belfast,173 Lincolnville Avenue,Belfast,04915,(207) 338-3320,6,8,Alta Seekins,aseekins@rsu71.org
Troy Central School,565,Public,Public,RSU 03/MSAD 03,561,Waldo,Troy,733 Bangor Road,Troy,04987,(207) 948-2280,KG,5,LISA ROUX,lroux@rsu3.org
Turner Elementary School,852,Public,Public,RSU 52/MSAD 52,847,Androscoggin,Turner,91 Matthews Way,Turner,04282,(207) 225-1050,3,6,Kristen Levesque,kristen.levesque@msad52.org
Turner Primary School,853,Public,Public,RSU 52/MSAD 52,847,Androscoggin,Turner,59 Cobb Road,Turner,04282,(207) 225-1030,PK,2,KIMBERLY FULLER,kimberly.fuller@msad52.org
Union Elementary,767,Public,Public,RSU 40/MSAD 40,765,Knox,Union,1070 Heald Highway,Union,04862,(207) 785-4330,PK,6,SCOTT WHITE,scott_white@msad40.org
United Technologies Ctr-Region 4,1018,Public,Technology Region,Bangor-Region 4,1017,Penobscot,Bangor,200 Hogan Road,Bangor,04401,(207) 942-5296,9,12,NOELLE O'CLAIR,NOclair@utc4me.org
Unity Elementary School,566,Public,Public,RSU 03/MSAD 03,561,Waldo,Unity,84 School Street,Unity,04988,(207) 948-6136,PK,PK,PAUL PENNA,ppenna@rsu3.org
Upper Kennebec Valley Middle/Senior High School,1974,Public,Public,RSU 83/MSAD 13,628,Somerset,Bingham,PO Box 649,Bingham,04920,(207) 672-3300,5,12,JAMES TYLER,james.tyler@sad13.org
Valley Rivers Middle School,1636,Public,Public,MSAD 27,696,Aroostook,Fort Kent,84 Pleasant Street,Fort Kent,04743,(207) 834-5540,7,8,JOHN KALETA,johnkaleta@sad27.org
Van Buren District Secondary Sch,686,Public,Public,RSU 88/MSAD 24,685,Aroostook,Van Buren,"169 Main Street, Suite 102",Van Buren,04785,(207) 868-5274,9,12,KYLIE LAPIERRE,klapierre@msad24.org
Van Buren Elementary School,689,Public,Public,RSU 88/MSAD 24,685,Aroostook,Van Buren,169 Main Street St 101,Van Buren,04785,(207) 868-5274,PK,8,KYLIE LAPIERRE,klapierre@msad24.org
Van Buren Regional Technology Ctr,688,Public,Technology Center,RSU 88/MSAD 24,685,Aroostook,Van Buren,"169 Main Street, Suite 102",Van Buren,04785,(207) 868-5274,9,12,KYLIE LAPIERRE,klapierre@msad24.org
Vassalboro Community School,474,Public,Public,Vassalboro Public Schools,473,Kennebec,Vassalboro,1116 Webber Pond Road,Vassalboro,04989,(207) 923-3100,PK,8,Ira Michaud,imichaud@vcsvikings.org
Veazie Community School,476,Public,Public,Veazie Public Schools,475,Penobscot,Veazie,1040 School Street,Veazie,04401,(207) 947-6573,PK,8,TIMOTHY TWEEDIE,ttweedie@veaziecs.org
Vickery School,857,Public,Public,RSU 53/MSAD 53,854,Somerset,Pittsfield,170 School Street,Pittsfield,04967,(207) 487-5575,1,4,Sarah Allen,sallen@msad53.org
Village Elementary School-Gorham,197,Public,Public,Gorham Public Schools,194,Cumberland,Gorham,12 Robie Street,Gorham,04038,(207) 222-1300,KG,5,Jodi Mezzanotte,jodi.mezzanotte@gorhamschools.org
Village Elementary School-York,543,Public,Public,York Public Schools,542,York,York,124 York Street,York,03909,(207) 363-4870,KG,1,Beth Talman,bhutchins@yorkschools.org
Vinalhaven School,605,Public,Public,RSU 08/MSAD 08,603,Knox,Vinalhaven,22 Arcola Lane,Vinalhaven,04863,(207) 863-4800,PK,12,Monte Selby,Monte.Selby@vinalhavenschool.org
Vine Street School,47,Public,Public,Bangor Public Schools,42,Penobscot,Bangor,66 Vine Street,Bangor,04401,(207) 941-6300,PK,3,DEBRA SWETT,dswett@bangorschools.net
Viola Rand Sch,2214,Public,Public,RSU 34,1466,Penobscot,Bradley,55 Highland Avenue,Bradley,04411,(207) 827-2508,PK,1,Cheryl Leonard,cheryl.leonard@rsu34.org
Vivian E Hussey School,2061,Public,Public,RSU 60/MSAD 60,913,York,Berwick,20 Blackberry Hill Road,Berwick,03901,(207) 698-4465,KG,3,Tina Harding,tina.harding@msad60.org
W G Mallett School,607,Public,Public,RSU 09,1508,Franklin,Farmington,116 Middle Street,Farmington,04938,(207) 778-3529,PK,2,Tracy Williams,twilliams@mtbluersd.org
Waldo County Tech Ctr-Region 7,1020,Public,Technology Region,Waldo-Region 7,1019,Waldo,Waldo,1022 Waterville Road,Waldo,04915,(207) 407-9282,9,12,TRAVIS WOOD,twood@waldotech.org
Waldo T Skillin Elementary School,452,Public,Public,South Portland Public Schools,444,Cumberland,South Portland,180 Wescott Road,South Portland,04106,(207) 773-7375,KG,4,BETHANY CONNOLLY,connolbe@spsdme.org
Walker Memorial School,563,Public,Public,RSU 03/MSAD 03,561,Waldo,Liberty,33 West Main Street,Liberty,04949,(207) 589-4208,PK,5,LISA ROUX,lroux@rsu3.org
Walton School,21,Public,Public,Auburn Public Schools,14,Androscoggin,Auburn,92 Mary Carroll Street,Auburn,04210,(207) 784-1528,PK,6,WAYNE DORR,wdorr@auburnschl.edu
Warren Community School,771,Public,Public,RSU 40/MSAD 40,765,Knox,Warren,117 Eastern Road,Warren,04864,(207) 273-2001,PK,6,Justin Kangas,justin_kangas@msad40.org
Warsaw Middle School,858,Public,Public,RSU 53/MSAD 53,854,Somerset,Pittsfield,167 School Street,Pittsfield,04967,(207) 487-5145,5,8,Brian Cole,bcole@msad53.org
Washburn District Elem School,797,Public,Public,RSU 45/MSAD 45,795,Aroostook,Washburn,33 School Street,Washburn,04786,(207) 455-4504,PK,8,VALERIE BLACK,vblack@msad45.net
Washburn District High School,796,Public,Public,RSU 45/MSAD 45,795,Aroostook,Washburn,1359 Main Street,Washburn,04786,(207) 455-4501,9,12,LAWRENCE WORCESTER,lworcester@msad45.net
Washburn School,19,Public,Public,Auburn Public Schools,14,Androscoggin,Auburn,35 Lake Auburn Avenue,Auburn,04210,(207) 784-5467,PK,6,Meghan Wood,mwood@auburnschl.edu
Waterboro Elementary School,896,Public,Public,RSU 57/MSAD 57,888,York,East Waterboro,340 Sokokis Trail,East Waterboro,04030,(207) 247-6126,PK,5,Kerri Lesieur,kerrilesieur@rsu57.org
Waterford Memorial School,657,Public,Public,RSU 17/MSAD 17,646,Oxford,Waterford,148 Valley Road,Waterford,04088,(207) 583-4418,PK,2,Margaret Emery,m.emery@msad17.org
Waterville Junior High School,484,Public,Public,Waterville Public Schools,480,Kennebec,Waterville,100 West River Road,Waterville,04901,(207) 873-2144,6,8,Don Roux,droux@aos92.org
Waterville Senior High School,482,Public,Public,Waterville Public Schools,480,Kennebec,Waterville,1 Brooklyn Avenue,Waterville,04901,(207) 873-2751,9,12,BRIAN LARAMEE,blaramee@aos92.org
Wayne Elementary School,487,Public,Public,RSU 38,1467,Kennebec,Wayne,48 Pond Road,Wayne,04284,(207) 685-3634,KG,5,Jeanette Jacobs,jeanette_jacobs@maranacook.com
Wells Elementary School,1061,Public,Public,Wells-Ogunquit CSD,1060,York,Wells,276 Sanford Rd,Wells,04090,(207) 646-5953,KG,4,Kyle Burnell,kburnell@wocsd.org
Wells High School,1063,Public,Public,Wells-Ogunquit CSD,1060,York,Wells,200 Sanford Rd,Wells,04090,(207) 646-7011,9,12,EILEEN SHEEHY,esheehy@wocsd.org
Wells Junior High School,1062,Public,Public,Wells-Ogunquit CSD,1060,York,Wells,1470 Post Rd,Wells,04090,(207) 646-5142,5,8,Joshua Gould,jgould@wocsd.org
Wentworth School,433,Public,Public,Scarborough Public Schools,427,Cumberland,Scarborough,20 Quentin Drive,Scarborough,04074,(207) 730-4600,3,5,KELLI CROSBY,kcrosby@scarboroughschools.org
Wesley Elementary School,492,Public,Public,Wesley Public Schools,491,Washington,Wesley,13 Whining Pines,Wesley,04686,(207) 255-3263,KG,8,MITCHELL LOOK,mlookaos96@gmail.com
West Bath School,494,Public,Public,West Bath Public Schools,1736,Sagadahoc,West Bath,126 New Meadows Road,West Bath,04530,(207) 443-9145,PK,5,Emily Thompson,ethompson@westbathschool.org
Westbrook High School,499,Public,Public,Westbrook Public Schools,495,Cumberland,Westbrook,125 Stroudwater Street,Westbrook,04092,(207) 854-0810,9,12,Wendy Harvey,harveyw@westbrookschools.org
Westbrook Middle School,498,Public,Public,Westbrook Public Schools,495,Cumberland,Westbrook,471 Stroudwater Street,Westbrook,04092,(207) 854-0830,5,8,Laurie Wood,woodl@westbrookschools.org
Westbrook Regional Technology Ctr,502,Public,Technology Center,Westbrook Public Schools,495,Cumberland,Westbrook,125 Stroudwater Street,Westbrook,04092,(207) 854-0820,10,12,Peter Lancia,lanciap@westbrookschools.org
Whitefield Elementary School,506,Public,Public,RSU 12,1451,Lincoln,Whitefield,164 Grand Army Road,Whitefield,04353,(207) 549-7691,PK,8,MARK DEBLOIS,mdeblois@svrsu.org
Whiting Village School,1001,Public,Public,Whiting Public Schools,1413,Washington,Whiting,PO Box 2,Whiting,04691,(207) 733-4617,PK,8,DARLENE WHEELER,dee04654@yahoo.com
William H Rowe School,538,Public,Public,Yarmouth Schools,537,Cumberland,Yarmouth,52 School Street,Yarmouth,04096,(207) 846-3771,PK,1,Kelli Rogers,kelli_rogers@yarmouthschools.org
William S. Cohen School,51,Public,Public,Bangor Public Schools,42,Penobscot,Bangor,304 Garland Street,Bangor,04401,(207) 941-6230,6,8,Michael Missbrenner,mmissbrenner@bangorschools.net
Williams Elementary School,810,Public,Public,RSU 18,1457,Kennebec,Oakland,55 Pleasant Street,Oakland,04963,(207) 465-2965,3,5,Melanie Smith,msmith@rsu18.org
